apathetic,assumptions,symptoms,judgmental,medication,therapy
"You are meeting with a woman that alleges spousal abuse by her husband (verbal and physical). She shares that he would like to join in on future sessions in an effort to repair the relationship, and your client is amenable to this. Would you allow the husband to join in on a session?","My parents have always been difficult to deal with, and never supported me emotionally. I don't have a close relationship with them, and I don't want to visit over the holidays -- but I am worried as to what this might do if I didn't attend. What should I do?","My mother has often struggled with depression, and apparently has ever since I was born. I want to help her, but I'm not sure how I can or what exactly is going on. She doesn't have many friends and is afraid of going outside. What could be going on, and how can I support her?","Nothing I do ever seems to go right. There's always a problem, and I don't have many people I can talk to about it. Sometimes I wonder if things would be better if I wasn't around any longer. What should I do? I feel like other people don't have these same struggles...","I struggle with anxiety all the time -- at school, at home, in social situations. How can I make this better?","Is there a way to get over my trauma? I had a really hard life growing up and it impacted me a lot, and I would like to not have this drag me down so much. "
"Your client is about to graduate from their master's program, and they would like for you to attend. You have been working with this client for several years, and they attribute their success in large part to your ongoing help. What would you say to them?","I have a friend that has borrowed money from me in the past and has yet to pay me back. Today they said they would not be able to pay their rent this month unless I help. I am worried about doing so, but I don't want something bad to happen to them. Should I lend them the money?","My girlfriend seems to always be on the go -- rarely sleeping, hardly eating, always talking about her dreams and aspirations. She makes time for fitness and work, but doesn't seem able to stay on task for much else. It harms our relationship, and I'm wondering if this could be a sign of bipolar disorder?","Sometimes I can't stop eating. I get so hungry all the time, and no matter how hard I try, I just keep on eating, long after I'm full. I always regret it afterwards. Is something wrong with me?",How can I work to improve on feeling depressed all the time? It makes it hard to go to work or do much of anything most of the time. ,How can I work to find more meaning in my day-to-day life?
"If a person gets individual counseling and decides to bring their partner in for couples counseling, is it acceptable for the counselor to take the partner aside to hear their point of view, then come back and express they are taking sides with the partner rather than the client who gets individual counseling?","My best friend wants to stop being friends with me and it's making me feel depressed and anxious. She doesn't care how I feel. Sometimes she says she is open to working things out, but most of time she is distant and angry. Do I have to just accept it if she doesn't want to be my friend anymore, even after 20 years?",My mom has been acting really strange lately. One minute she is all excited and active and the next she is very down and depressed. It is affecting our whole family and I feel like she may just be acting out for attention. Do you think that she could really have a serious problem?,I feel so stupid for having been broken up with after only a few weeks. I must have really been a bad girlfriend. I feel like a failure and like something is wrong with me. I hit myself sometimes because I deserve it. How could I have not kept a boyfriend for even a month?,How can I better manage my depression symptoms?,How can I stop being so negative all the time? It's really hard for me to think about anything positive and I would like to improve this about myself. 
Is it acceptable for a counselor to ask a child client who is being bullied what they did to provoke the bully and take sides with the person bullying them?,"I heard a rumor that I may be fired soon and I'm a wreck over it. Some colleagues say I may have a chance to do better and stay, but I feel so low and depressed over even the thought of them considering firing me. I've been having troubles in my relationship. Do I just have to accept that at work they don't care about my personal issues and leave if they ask me to?","My new friend has been texting me constantly, checking in to make sure she didn't say anything to make me not want to be friends with her. Sometimes I'm not sure if she's joking or not because it is a bit ridiculous how often she messages me. ","I get so anxious sometimes I pull my hair out. I almost don't have anymore eyelashes or brows. I feel like a loser for not being able to control this, but I just can't stop. And then I feel even more anxious and bad about myself.",I feel lightheaded when I have to talk in front of a group. How can I control myself better so I don't get nervous and feel this way?,"Is it possible for me to ever get past my abusive relationship? I want to forget about the trauma and move on.
"
"If a couple is seeking couple's therapy, is it ever appropriate for the therapist to meet individually with one member of the couple individually, without the consent of the other participating adult in the couple?  ","I just gave birth to our second child 6 months ago. I am exhausted, overweight, feel bad about myself, and my husband gives me no support. He complains I do not spend enough attention on him and is not willing to go to therapy. He threatens to leave me and says then I will see what it is like to be alone. what should I do?","I am on social security and have a budget. My son has been coming over the house to help with some work that needs to be done, and I think Im missing money,. It has to be him, no one else comes over and knows where i keep my money. I am going to confront him.","I recently discovered my boyfriend of 8 years is cheating on me. The girl is so pretty and skinny, which makes me feel more awful about the situation. I feel horrible about myself and the only thing that makes me feel better is alcohol. Ive been drinking over a bottle of wine a night. I cant be skinny and pretty like her, so I might as well numb my feelings about it. This is okay, right?","I have been reading about adult ADHD and I think I have it. Ever since Covid, I am having difficulty focusing on work and I keep procrastinating. How can I stop?",I have been diagnosed with PTSD.  I keep having flashbacks of the event and my hypervigilance is more aroused than usual. I cannot continue to lead a normal life living like this. Please help
Would it ever be appropriate if a therapist utilized second hand information to confront a client? ,"My wife recently lost a great deal of weight due to a weight loss drug. She is going out, staying out late, not answering her phone, and being distant. I do not want to live like this and I am thinking of leaving her. What do you think?","My friends makes plans and always cancel. Yet, last week i saw they posted a picture of them out to dinner, but I wasn't invited. I cant believe they would be that rude and immature to plan things behind my back. I am going to send a group text and let them know how immature they are acting","i just turned forty and I hate my life. I am not where I thought I would be and worse yet, I am still single. I have been going out and getting drunk, hooking up with men I dont know. Sometimes I just have sex with them outside the bar and we do not use protection. I am on the pill so that protects me from getting pregnant.  I always ask the guy before we have sex if he is disease free. That is okay right? ","I was in therapy once, 4 years ago for PTSD, It did nothing for me and I know it is not going to work again. But I need help. What do i do?","My best friend passed away unexpectedly 7 years ago. I still miss him, and cry every day. I know it is not normal, but I dint know how to stop. What do you think ,might help?"
"If two parents are in a custody battle, is the counselor allowed to speak with both parents? Can the counselor write a letter or testify for court regarding which parent is better and who the child should be with? ","My partner is going through severe mental health issues and has made several comments about being suicidal when in arguments. If I try to take space for myself or set boundaries with them, they threaten suicide. I don't want them to hurt themselves, but I need to take care of myself. What do I do?","My child is saying they have a friend named ""Bob"" who has lived over 100 years and is talking to them on a regular basis. ""Bob"" does not seem to harm them or scare them, but more annoys them. I'm not sure if this is a ghost, a hallucination, or an imaginary friend. What do I do?",I have been feeling really upset recently about every little thing and worried constantly that something bad is going to happen. My mom is not concerned and won't get me help. Is this normal to struggle with? ,I am a teacher who sees one of your clients. I am worried that they are experiencing anxiety all the time and seem to have a low distress tolerance threshold. I think you should talk to her mom about getting medication.,I have been dealing with self harm for years and have never found any coping skills that work for me. No therapists seem to help.
"If a parent asks a counselor to share every detail of session with them after every single appointment with their child, is the counselor ethically allowed to do so? If not, what information can they share?",My child has a history of severe trauma and has made suicidal statements throughout the years at school to get out of assignments and get attention from teachers. She is not suicidal and she has never said this to me at home. I think she's doing it for attention; does she need therapy?,"My child is making up stories about going out at night in a ski mask to cut people's hair on the streets. I know that she is not doing this, because I keep all the doors and windows locked at night and no one needs a haircut on the streets in the middle of the night. Why is she making things up?","I feel like I can't focus on anything and get so frustrated all day long because I have so many thoughts running through my head at once. My teacher thinks maybe I have ADHD, but my dad says this is normal and I just need to learn to deal with it. Is this how everyone's brain works? Am I normal or do I have ADHD?","My child is dealing with depression and has suicidal thoughts but I had a really bad experience taking Zoloft, and I don't want my child to be on Zoloft. Are there other options, or should we just not consider medication? ",I am autistic and have struggled to find ways to deal with meltdowns and shutdowns. My therapists don't seem to understand and CBT doesn't help. 
"If a minor is in therapy and discloses that their guardians routinely knowingly expose the minor to the minor's past abuser at social events, but the minor denies ongoing, recent abuse, and the guardians refuse to follow the therapist's advice to stop exposing the minor to the abuser, does the therapist need to call Child Protective Services as a mandated reporter? Would this unethically/illegally break confidentiality, especially if the minor asks not to report? Would it cause more harm to call and potentially destroy the necessary therapeutic relationship?","I had a panic attack at a friend's birthday party. Instead of her or anyone trying to help, my friend instead recorded a video and posted it on TikTok and now my panic attack has gone viral. Should I ghost my friend? Should I give her the benefit of the doubt and allow some time for her to apologize and give an explanation? ","Recently, my friend has been forgetting things frequently, like what day and year it is, or feeding his pets. He never used to be like this. Is something wrong, or am I just paranoid?","I’m in college and I feel like a complete failure. I stay up all night trying to perfect every paper, and I still feel like I’m not doing enough. I cry if I don’t get an A, and sometimes I go days without sleep. Other students seem to handle things just fine. Why am I like this?","My mood has improved some since undergoing TMS, but my motivation, energy, and ability to be productive are all still diminished. What else can I try?","I can't seem to keep friends in my life, and I've been called narcissistic. I don't think I'm a narcissist. How do I convince people I'm not?"
"Is it okay for a therapist to abruptly terminate treatment due to extreme countertransference and an unrepairable rupture with the client's legal guardians, even if referrals were provided? Are therapists allowed to terminate treatment for any reason without explanation?","My mom and I are having a fight. She calls me ""lazy"" because my room is a mess, even though I've told her I have hoarding disorder. Am I lazy?","My 10-year-old daughter has started staring off into space for long periods and doesn’t respond when I call her name. She was outgoing, but now she’s quiet and doesn’t want to play with friends. What could be going on?","Sometimes I feel like I shouldn’t be this upset because other people have gone through worse. I can’t stop having flashbacks, and I think about the past constantly. I don’t know why I’m still stuck in it. I haven’t been through anything that bad. Am I being dramatic?",I've been hearing voices telling me to do things I don't want to do. What should I do to make them stop?,"How can I stop dissociating? I know it helped me survive some situations in the past, but now it's unhelpful."
